locus	compartment
;	Vacuole
AT1G01010	Membrane (unspecified)
AT1G01020	Endoplasmic reticulum
AT1G01030	Nucleus
AT1G01040	Nucleus
AT1G01050	Cytoplasm
AT1G01060	Nucleus
AT1G01070	Membrane (unspecified)
AT1G01090	Chloroplast
AT1G01110	Nucleus
AT1G01120	Endoplasmic reticulum
AT1G01140	Cytoplasm
AT1G01200	Membrane (unspecified)
AT1G01250	Nucleus
AT1G01260	Nucleus
AT1G01280	Membrane (unspecified)
AT1G01290	Mitochondrion
AT1G01320	Nucleus
AT1G01335	Cytoplasm
AT1G01340	Plasma membrane
AT1G01360	Cytoplasm
AT1G01370	Other / unknown
AT1G01380	Nucleus
AT1G01410	Cytoplasm
AT1G01430	Membrane (unspecified)
AT1G01500	Membrane (unspecified)
AT1G01510	Cytoplasm
AT1G01520	Nucleus
AT1G01530	Nucleus
AT1G01540	Membrane (unspecified)
AT1G01550	Chloroplast
AT1G01580	Plasma membrane
AT1G01590	Membrane (unspecified)
AT1G01600	Membrane (unspecified)
AT1G01610	Membrane (unspecified)
AT1G01620	Plasma membrane
AT1G01650	Membrane (unspecified)
AT1G01690	Nucleus
AT1G01710	Peroxisome
AT1G01720	Nucleus
AT1G01740	Plasma membrane
AT1G01750	Cytoplasm
AT1G01760	Nucleus
AT1G01780	Cytoplasm
AT1G01790	Chloroplast
AT1G01820	Peroxisome
AT1G01860	Chloroplast
AT1G01880	Nucleus
AT1G01900	Cell wall / apoplast
AT1G01910	Cytoplasm
AT1G01940	Cytoplasm
AT1G01950	Cytoplasm
AT1G01960	Cytoplasm
AT1G01980	Cell wall / apoplast
AT1G02000	Golgi
AT1G02030	Nucleus
AT1G02050	Endoplasmic reticulum
AT1G02060	Chloroplast
AT1G02065	Nucleus
AT1G02090	Cytoplasm
AT1G02100	Cytoplasm
AT1G02120	Membrane (unspecified)
AT1G02130	Golgi
AT1G02140	Nucleus
AT1G02145	Endoplasmic reticulum
AT1G02190	Membrane (unspecified)
AT1G02205	Endoplasmic reticulum
AT1G02220	Nucleus
AT1G02230	Nucleus
AT1G02250	Nucleus
AT1G02270	Membrane (unspecified)
AT1G02280	Chloroplast
AT1G02305	Vacuole
AT1G02310	Cell wall / apoplast
AT1G02330	Nucleus
AT1G02335	Cell wall / apoplast
AT1G02340	Nucleus
AT1G02370	Mitochondrion
AT1G02390	Membrane (unspecified)
AT1G02410	Mitochondrion
AT1G02450	Nucleus
AT1G02500	Cytoplasm
AT1G02510	Plasma membrane
AT1G02520	Membrane (unspecified)
AT1G02530	Membrane (unspecified)
AT1G02560	Chloroplast
AT1G02580	Nucleus
AT1G02630	Plasma membrane
AT1G02640	Cell wall / apoplast
AT1G02660	Chloroplast
AT1G02680	Nucleus
AT1G02690	Nucleus
AT1G02720	Golgi
AT1G02730	Golgi
AT1G02740	Nucleus
AT1G02750	Cytoplasm
AT1G02790	Cell wall / apoplast
AT1G02800	Cell wall / apoplast
AT1G02810	Cell wall / apoplast
AT1G02820	Cytoplasm
AT1G02840	Nucleus
AT1G02860	Nucleus
AT1G02880	Cytoplasm
AT1G02900	Cell wall / apoplast
AT1G02910	Chloroplast
AT1G02920	Cytoplasm
AT1G02930	Cytoplasm
AT1G02940	Cytoplasm
AT1G02950	Cytoplasm
AT1G02970	Nucleus
AT1G03000	Cytoplasm
AT1G03020	Cytoplasm
AT1G03040	Nucleus
AT1G03050	Membrane (unspecified)
AT1G03055	Chloroplast
AT1G03060	Cytoplasm
AT1G03070	Membrane (unspecified)
AT1G03090	Mitochondrion
AT1G03100	Mitochondrion
AT1G03103	Plasma membrane
AT1G03120	Cytoplasm
AT1G03130	Chloroplast
AT1G03160	Chloroplast
AT1G03190	Nucleus
AT1G03270	Membrane (unspecified)
AT1G03300	Nucleus
AT1G03310	Chloroplast
AT1G03330	Cytoplasm
AT1G03360	Cytoplasm
AT1G03370	Membrane (unspecified)
AT1G03380	Membrane (unspecified)
AT1G03430	Cytoplasm
AT1G03445	Nucleus
AT1G03457	Cytoplasm
AT1G03470	Cytoplasm
AT1G03475	Chloroplast
AT1G03490	Nucleus
