accession,organism,contrast,kegg_pathway,pathway_name,n_pathway_genes,n_mapped,coverage_pct,n_up,n_down,n_sig,mean_abs_log2fc
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00010,Glycolysis / Gluconeogenesis,161,103,64.0,3,8,2,0.396
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00195,Photosynthesis,85,34,40.0,17,0,2,1.633
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00196,Photosynthesis - antenna proteins,52,16,30.8,7,1,2,1.863
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00360,Phenylalanine metabolism,91,30,33.0,0,2,0,0.463
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00480,Glutathione metabolism,122,93,76.2,8,7,0,0.574
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00500,Starch and sucrose metabolism,237,129,54.4,9,17,3,0.661
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00592,alpha-Linolenic acid (jasmonate) metabolism,48,33,68.8,1,2,0,0.545
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00710,Carbon fixation (Calvin cycle),72,58,80.6,3,3,2,0.639
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00908,Zeatin biosynthesis,35,23,65.7,2,1,0,0.738
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00940,Phenylpropanoid biosynthesis,144,98,68.1,5,26,3,1.021
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath00941,Flavonoid biosynthesis,39,17,43.6,7,1,1,1.917
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath04075,Plant hormone signal transduction,434,304,70.0,30,19,9,0.588
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath04626,Plant-pathogen interaction,258,166,64.3,4,23,0,0.605
OSD-120,Arabidopsis thaliana,(Col-0 & Ground Control & Light Treatment)v(Col-0 & Space Flight & Light Treatment),ath04712,Circadian rhythm - plant,43,40,93.0,8,5,6,1.218
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00010,Glycolysis / Gluconeogenesis,161,111,68.9,5,1,5,0.344
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00195,Photosynthesis,85,43,50.6,0,0,0,0.424
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00196,Photosynthesis - antenna proteins,52,19,36.5,0,0,0,0.342
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00360,Phenylalanine metabolism,91,30,33.0,1,3,2,0.568
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00480,Glutathione metabolism,122,97,79.5,2,8,8,0.504
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00500,Starch and sucrose metabolism,237,147,62.0,8,4,5,0.457
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00592,alpha-Linolenic acid (jasmonate) metabolism,48,37,77.1,1,1,1,0.347
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00710,Carbon fixation (Calvin cycle),72,68,94.4,0,0,0,0.318
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00908,Zeatin biosynthesis,35,22,62.9,1,2,0,0.553
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00940,Phenylpropanoid biosynthesis,144,111,77.1,15,5,16,0.65
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath00941,Flavonoid biosynthesis,39,18,46.2,1,1,1,0.662
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath04075,Plant hormone signal transduction,434,338,77.9,7,20,16,0.442
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath04626,Plant-pathogen interaction,258,178,69.0,4,3,4,0.377
OSD-218,Arabidopsis thaliana,(Col-0 & 4 day & Ground Control)v(Col-0 & 4 day & Space Flight),ath04712,Circadian rhythm - plant,43,40,93.0,3,0,3,0.579
