:START_ID,:END_ID,:TYPE,log2FC:float,padj:float
G:AT5G20830,P:ath00500,IN_PATHWAY,,
G:AT5G20830,P:ath00500,IN_PATHWAY,,
G:AT5G20830,P:ath00500,IN_PATHWAY,,
G:AT5G20830,P:ath00500,IN_PATHWAY,,
G:AT5G20830,P:ath00500,IN_PATHWAY,,
G:AT5G20830,P:ath00500,IN_PATHWAY,,
G:AT5G20830,P:ath00500,IN_PATHWAY,,
G:AT5G20830,S:OSD-120,DE_IN,-1.708,0.0463985054636825
G:AT5G20830,S:OSD-208,DE_IN,-2.055,0.0168551131957322
G:AT5G20830,S:OSD-217,DE_IN,1.967,1.16664625755663e-20
G:AT5G20830,S:OSD-314,DE_IN,-1.182,7.58551785486805e-09
G:AT5G20830,S:OSD-38,DE_IN,-2.042,0.00077809904259724
G:AT5G20830,S:OSD-508,DE_IN,-1.397,5.39229325028204e-05
G:AT5G20830,S:OSD-565,DE_IN,1.102,0.0466448679771485
G:AT5G20830,C:Other / unknown,LOCATED_IN,,
G:AT5G11920,P:ath00500,IN_PATHWAY,,
G:AT5G11920,P:ath00500,IN_PATHWAY,,
G:AT5G11920,P:ath00500,IN_PATHWAY,,
G:AT5G11920,P:ath00500,IN_PATHWAY,,
G:AT5G11920,P:ath00500,IN_PATHWAY,,
G:AT5G11920,P:ath00500,IN_PATHWAY,,
G:AT5G11920,P:ath00500,IN_PATHWAY,,
G:AT5G11920,S:OSD-120,DE_IN,-3.07,0.00119617110724748
G:AT5G11920,S:OSD-217,DE_IN,2.424,8.42302295869322e-06
G:AT5G11920,S:OSD-313,DE_IN,1.26,3.51382124960966e-07
G:AT5G11920,S:OSD-321,DE_IN,1.492,3.70978052746127e-17
G:AT5G11920,S:OSD-508,DE_IN,-2.738,2.80632273380068e-05
G:AT5G11920,S:OSD-510,DE_IN,2.128,2.62356397313332e-06
G:AT5G11920,S:OSD-565,DE_IN,5.533,0.000623494665166891
G:AT5G11920,C:Cell wall / apoplast,LOCATED_IN,,
G:AT1G66280,P:ath00500,IN_PATHWAY,,
G:AT1G66280,P:ath00500,IN_PATHWAY,,
G:AT1G66280,P:ath00500,IN_PATHWAY,,
G:AT1G66280,P:ath00500,IN_PATHWAY,,
G:AT1G66280,P:ath00500,IN_PATHWAY,,
G:AT1G66280,P:ath00500,IN_PATHWAY,,
G:AT1G66280,S:OSD-120,DE_IN,-1.627,0.0174861334969065
G:AT1G66280,S:OSD-208,DE_IN,1.777,3.51024731423084e-16
G:AT1G66280,S:OSD-217,DE_IN,8.185,1.47078644753041e-289
G:AT1G66280,S:OSD-38,DE_IN,-1.155,0.000939152814954068
G:AT1G66280,S:OSD-437,DE_IN,-2.999,0.0230670215439478
G:AT1G66280,S:OSD-782,DE_IN,-7.085,0.000240041965868742
G:AT1G66280,C:Endoplasmic reticulum,LOCATED_IN,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,P:ath00940,IN_PATHWAY,,
G:AT5G19890,S:OSD-120,DE_IN,-6.49,0.0261142215753248
G:AT5G19890,S:OSD-217,DE_IN,7.79,1.02595251291615e-28
G:AT5G19890,S:OSD-281,DE_IN,-1.977,0.00740944729644973
